The Avengers
The Dark Knight Rises
The Hunger Games
Skyfall
The Hobbit: An Unexpected Journey
The Twilight Saga: Breaking Dawn - Part 2
The Amazing Spider-Man
Brave
Ted
Madagascar 3: Europe's Most Wanted
The Lorax
Wreck-It Ralph
Lincoln
Men in Black 3
Django Unchained
Ice Age: Continental Drift
Snow White and the Huntsman
Mr. Popper's Penguins
Happy Feet Two
Unknown
The Adjustment Bureau
Water for Elephants
The Lincoln Lawyer
Midnight in Paris
Friends with Benefits
I Am Number Four
Source Code
New Year's Eve
Madea's Big Happy Family
Diary of a Wimpy Kid: Rodrick Rules
Footloose
Ghost Rider: Spirit of Vengeance
The Grey
The Dilemma
Arthur Christmas
The Best Exotic Marigold Hotel
Hall Pass
The Artist
Soul Surfer
Final Destination 5
The Ides of March
Hanna
Something Borrowed
Spy Kids: All the Time in the World in 4D
Scream 4
"Big Mommas: Like Father, Like Son"
Red Riding Hood
In Time
Paul
J. Edgar
The Roommate
Jumping the Broom
The Change-Up
30 Minutes or Less
Colombiana
Sucker Punch
Larry Crowne
Drive
A Very Harold & Kumar 3D Christmas
50/50
Courageous
The Rite
Arthur
Extremely Loud & Incredibly Close
The Sitter
The Iron Lady
Priest
Harry Potter and the Deathly Hallows: Part 2
Transformers: Dark of the Moon
The Twilight Saga: Breaking Dawn - Part 1
The Hangover Part II
Pirates of the Caribbean: On Stranger Tides
Fast Five
Mission: Impossible - Ghost Protocol
Cars 2
Sherlock Holmes: A Game of Shadows
Thor
Rise of the Planet of the Apes
Captain America: The First Avenger
The Help
Bridesmaids
Kung Fu Panda 2
Puss in Boots
X: First Class
Rio
The Smurfs
Alvin and the Chipmunks: Chipwrecked
Super 8
Rango
Horrible Bosses
Green Lantern
Hop
Paranormal Activity 3
Just Go with It
The Girl with the Dragon Tattoo
Bad Teacher
Cowboys & Aliens
Gnomeo & Juliet
The Green Hornet
The Muppets
Real Steel
"Crazy, Stupid, Love."
Battle Los Angeles
Immortals
The Descendants
Zookeeper
War Horse
Limitless
Tower Heist
The Adventures of Tintin
Contagion
We Bought a Zoo
Moneyball
Jack and Jill
Hugo
Dolphin Tale
No Strings Attached
Toy Story 3
Alice in Wonderland
Iron Man 2
The Twilight Saga: Eclipse
Harry Potter and the Deathly Hallows: Part 1
Inception
Despicable Me
Shrek Forever After
How to Train Your Dragon
Tangled
The Karate Kid
Tron
True Grit
Clash of the Titans
Grown Ups
Megamind
Little Fockers
The King's Speech
The Last Airbender
Shutter Island
The Other Guys
Salt
Valentine's Day
Black Swan
Robin Hood
The Chronicles of Narnia: The Voyage of the Dawn Treader
The Expendables
Due Date
Yogi Bear
Date Night
The Social Network
Sex and the City 2
The Book of Eli
The Fighter
The Town
Prince of Persia: The Sands of Time
RED
Percy Jackson & the Olympians: The Lightning Thief
Paranormal Activity 2
Unstoppable
Eat Pray Love
Dear John
The A-Team
Knight and Day
Dinner for Schmucks
The Tourist
The Bounty Hunter
Diary of a Wimpy Kid
The Sorcerer's Apprentice
A Nightmare on Elm Street
The Last Song
The Wolfman
Get Him to the Greek
Resident Evil: Afterlife
Why Did I Get Married Too?
Tooth Fairy
Secretariat
Easy A
Takers
Legend of the Guardians: The Owls of Ga'Hoole
Insidious
Life as We Know It
Letters to Juliet
Wall Street: Money Never Sleeps
Predators
Hot Tub Time Machine
Kick-Ass
Killers
Saw 3D
Cop Out
Cats & Dogs: The Revenge of Kitty Galore
Edge of Darkness
Gulliver's Travels
Death at a Funeral
Step Up 3D
The Last Exorcism
Legion
Burlesque
The Crazies
For Colored Girls
The Back-up Plan
Vampires Suck
The American
Green Zone
Marmaduke
Devil
Hereafter
When in Rome
Love & Other Drugs
She's Out of My League
Scott Pilgrim vs. the World
The Debt
Charlie St. Cloud
Morning Glory
How Do You Know
Nanny McPhee and the Big Bang
The Switch
Machete
Ramona and Beezus
Leap Year
Avatar
Transformers: Revenge of the Fallen
Harry Potter and the Half-Blood Prince
The Twilight Saga: New Moon
Up
The Hangover
Star Trek
The Blind Side
Alvin and the Chipmunks: The Squeakquel
Sherlock Holmes
Monsters vs. Aliens
Ice Age: Dawn of the Dinosaurs
X-Men Origins: Wolverine
Night at the Museum: Battle of the Smithsonian
2012
The Proposal
Fast & Furious
G.I. Joe: The Rise of Cobra
A Christmas Carol
Angels & Demons
Terminator Salvation
Cloudy with a Chance of Meatballs
Inglourious Basterds
G-Force
District 9
It's Complicated
Couples Retreat
Watchmen
The Princess and the Frog
Public Enemies
Julie & Julia
He's Just Not That Into You
Madea Goes to Jail
The Ugly Truth
Up in the Air
Knowing
Hannah Montana: The Movie
Where the Wild Things Are
Zombieland
Coraline
Law Abiding Citizen
Hotel for Dogs
"I Love You, Man"
Obsessed
Race to Witch Mountain
The Final Destination
The Taking of Pelham 123
Friday the 13th
17 Again
The Time Traveler's Wife
The Dark Knight
Iron Man
Indiana Jones and the Kingdom of the Crystal Skull
Hancock
Baby Mama
Step Up 2: The Streets
Saw V
The Strangers
The Forbidden Kingdom
The Tale of Despereaux
Australia
The House Bunny
Nim's Island
Made of Honor
College Road Trip
The Sisterhood of the Traveling Pants 2
Speed Racer
Prom Night
Rambo
"Welcome Home, Roscoe Jenkins"
Meet the Browns
Nights in Rodanthe
Max Payne
Righteous Kill
Body of Lies
Lakeview Terrace
Meet the Spartans
Harold & Kumar Escape from Guantanamo Bay
First Sunday
The Secret Life of Bees
The Family That Preys
Death Race
Changeling
Star Wars: The Clone Wars
The Reader
Semi-Pro
Fireproof
Doubt
Drillbit Taylor
The Love Guru
"Definitely, Maybe"
Milk
Transporter 3
Quarantine
Nick and Norah's Infinite Playlist
Zack and Miri Make a Porno
The Eye
Leatherheads
Mirrors
Space Chimps
The Bank Job
Untraceable
Defiance
The Women
