id,name,releasedate,duration,directorid,producerid,writerid,imdb,budget,collection,certification,score
tt1453405,"Monsters University","21 June 2013 ","1h 44min",/name/nm0768959?ref_=tt_ov_dr,/company/co0008970?ref_=cons_tt_dt_co_1,/name/nm0768959?ref_=tt_ov_wr,7.3,"$200,000,000","$82,429,469",U,0.0000
tt1454029,"The Help","25 November 2011 ","2h 26min",/name/nm0853238?ref_=tt_ov_dr,/company/co0040938?ref_=cons_tt_dt_co_1,/name/nm0853238?ref_=tt_ov_wr,8.1,"$25,000,000","$26,044,590",UA,0.0000
tt1457767,"The Conjuring","2 August 2013 ","1h 52min",/name/nm1490123?ref_=tt_ov_dr,/company/co0046718?ref_=cons_tt_dt_co_1,/name/nm0370937?ref_=tt_ov_wr,7.5,"$20,000,000","$41,855,326",A,0.0000
tt1458169,Kidnap,"4 August 2017 ","1h 35min",/name/nm1060986?ref_=tt_ov_dr,/company/co0117723?ref_=cons_tt_dt_co_1,/name/nm1029878?ref_=tt_ov_wr,5.9,"$21,000,000","$10,016,323","Rated R for violence and peril",0.0000
tt1462769,"The Odd Life of Timothy Green","15 August 2012 ","1h 45min",/name/nm0373282?ref_=tt_ov_dr,/company/co0275343?ref_=cons_tt_dt_co_1,/name/nm0373282?ref_=tt_ov_wr,6.6,"$25,000,000","$10,822,903","Rated PG for mild thematic elements and brief language",0.0000
tt1464174,"Big Mommas: Like Father, Like Son","18 February 2011 ","1h 47min",/name/nm0925870?ref_=tt_ov_dr,/company/co0021592?ref_=cons_tt_dt_co_1,/name/nm3821363?ref_=tt_ov_wr,4.4,"$32,000,000","$19,000,000","Rated PG-13 for some sexual humor and brief violence",0.0000
tt1464540,"I Am Number Four","18 February 2011 ","1h 49min",/name/nm0142286?ref_=tt_ov_dr,/company/co0040938?ref_=cons_tt_dt_co_1,/name/nm0332184?ref_=tt_ov_wr,6.1,"$60,000,000","$22,755,854","Rated PG-13 for intense sequences of violence and action, and for language",0.0000
tt1469304,Baywatch,"2 June 2017 ","1h 56min",/name/nm1164861?ref_=tt_ov_dr,/company/co0023400?ref_=cons_tt_dt_co_1,/name/nm0075276?ref_=tt_ov_wr,5.6,"$69,000,000","$18,503,871","Rated R for language throughout, crude sexual content, and graphic nudity",0.0000
tt1477076,"Saw 3D","29 October 2010 ","1h 30min",/name/nm0340436?ref_=tt_ov_dr,/company/co0137447?ref_=cons_tt_dt_co_1,/name/nm1733317?ref_=tt_ov_wr,5.6,"$20,000,000","$24,230,123","Rated R for sequences of grisly bloody violence and torture, and language",0.0000
tt1478338,Bridesmaids,"13 May 2011 ","2h 5min",/name/nm0082450?ref_=tt_ov_dr,/company/co0005073?ref_=cons_tt_dt_co_1,/name/nm1325419?ref_=tt_ov_wr,6.8,"$32,500,000","$26,247,410","Rated R for some strong sexuality, and language throughout",0.0000
