movieid,actorid,rank
tt2316204,/name/nm1055413?ref_=tt_ov_st_sm,1
tt2316204,/name/nm2239702?ref_=tt_ov_st_sm,2
tt2316204,/name/nm0001082?ref_=tt_ov_st_sm,3
tt2091256,/name/nm0366389?ref_=tt_ov_st_sm,1
tt2091256,/name/nm3042755?ref_=tt_ov_st_sm,2
tt2091256,/name/nm1159180?ref_=tt_ov_st_sm,3
tt6359956,/name/nm0005109?ref_=tt_ov_st_sm,1
tt6359956,/name/nm0068338?ref_=tt_ov_st_sm,2
tt6359956,/name/nm1063517?ref_=tt_ov_st_sm,3
tt3014284,/name/nm0000329?ref_=tt_ov_st_sm,1
tt3014284,/name/nm2002649?ref_=tt_ov_st_sm,2
tt3014284,/name/nm0035488?ref_=tt_ov_st_sm,3
tt1469304,/name/nm0425005?ref_=tt_ov_st_sm,1
tt1469304,/name/nm1374980?ref_=tt_ov_st_sm,2
tt1469304,/name/nm1275259?ref_=tt_ov_st_sm,3
tt2872518,/name/nm0941777?ref_=tt_ov_st_sm,1
tt2872518,/name/nm0818055?ref_=tt_ov_st_sm,2
tt2872518,/name/nm0005210?ref_=tt_ov_st_sm,3
tt5580390,/name/nm1020089?ref_=tt_ov_st_sm,1
tt5580390,/name/nm0818055?ref_=tt_ov_st_sm,2
tt5580390,/name/nm0788335?ref_=tt_ov_st_sm,3
tt4555426,/name/nm0000198?ref_=tt_ov_st_sm,1
tt4555426,/name/nm4141252?ref_=tt_ov_st_sm,2
tt4555426,/name/nm0000218?ref_=tt_ov_st_sm,3
tt4555426,/name/nm0000198?ref_=tt_ov_st_sm,1
tt4555426,/name/nm4141252?ref_=tt_ov_st_sm,2
tt4555426,/name/nm0000218?ref_=tt_ov_st_sm,3
tt2406566,/name/nm0000234?ref_=tt_ov_st_sm,1
tt2406566,/name/nm0564215?ref_=tt_ov_st_sm,2
tt2406566,/name/nm0000422?ref_=tt_ov_st_sm,3
